CPD_NAME,BROAD_ID
2-methoxyestradiol,BRD-A46950333
clorsulon,BRD-K97521363
3-alpha-BIS-(4-FLUOROPHENYL)METHOXYTROPANE,BRD-A85216385
medroxyprogesterone,BRD-A61221616
naltrindole,BRD-A82656074
SU 9516,BRD-K94883909
5-fluoro-5'-deoxyuridine,BRD-A68537732
chlorpromazine,BRD-K89997465
W-7,BRD-K90259198
SD-169,BRD-K91904471
quinethazone,BRD-A59303141
mead acid,BRD-K96144918
olmesartan medoxomil,BRD-K78485176
"5,7-dimethoxyflavanone",BRD-A90249268
spironolactone,BRD-K90027355
"L-693,403",BRD-K83322645
pinosylvin,BRD-K94645280
flumethasone pivalate,BRD-A50064262
isocarboxazid,BRD-K93332168
probenecid,BRD-K95237249
RS 16566,BRD-K80725821
meclofenoxate,BRD-K10314788
pravastatin,BRD-A71816415
RS 102221,BRD-K87048468
SQ-22536,BRD-A56987319
anabasine,BRD-K94837957
TPEN,BRD-K10385824
carbimazole,BRD-K87156652
1-(3-chlorophenyl)-4-hexylpiperazine,BRD-K93541117
sertaconazole,BRD-A95939040
trimeprazine tartrate,BRD-A49225603
WAY 161503,BRD-A62021152
chlorothiazide,BRD-K88682005
methyl-ergometrine,BRD-A63667919
cyclizine,BRD-K79501723
L 670596,BRD-A85472596
pteryxin,BRD-K92006759
manumycin A,BRD-K78599730
metaxalone,BRD-A94709349
piroxicam,BRD-A57382968
DAPT,BRD-A68929948
BRD-A90490067,BRD-A90490067
N6-Cyclopentyladenosine,BRD-A85234536
8-hydroxy-2-(di-n-propylamino)tetralin,BRD-A48015106
harmaline,BRD-K91317041
Ro 04-5595,BRD-A63546914
KN-93,BRD-K93480852
pipenzolate bromide,BRD-A53561827
prieuranin acetate,BRD-A64374397
ML 3163,BRD-K95202259
(S)-(-)-Pindolol,BRD-K95598440
"androsta-1,4-dien-3,17-dione",BRD-A95513702
lamotrigine,BRD-K93460210
BMS-191011,BRD-K95609758
arecoline,BRD-K88646909
aconitine,BRD-A55025683
eucatropine,BRD-A69786436
salsoline,BRD-A48323445
3-nor-3-oxopanasinsan-6-ol,BRD-A59682351
fenoterol,BRD-A97104540
alverine,BRD-K89055274
"LY-163,502",BRD-K13261168
tranylcypromine,BRD-K88809146
Hoechst 33342,BRD-K08554278
5-Iodo-A-85380 dihydrochloride,BRD-K90065682
RU 28318,BRD-A92585442
siguazodan,BRD-A91992993
oxybutynin,BRD-A65013509
testosterone propionate,BRD-K90553655
BRL-50481,BRD-K84266862
REV-5901,BRD-A68281735
prednisolone,BRD-K98039984
ARC 239,BRD-K93188295
ajmaline,BRD-A48300215
cefadroxil,BRD-A56858165
metrizamide,BRD-A45543382
"3,4,5-trimethoxycinnamic aldehyde",BRD-K87194840
midodrine,BRD-A79981887
dihydro-beta-tubaic acid,BRD-K96362535
testosterone,BRD-A55393291
methomyl,BRD-K87817668
melatonin,BRD-K97530723
N-Methyl-N-[(1S)-1-phenyl-2-(1-pyrrolidinyl) ethyl]phenylacetamide hydrochloride,BRD-A94675310
ciprofibrate,BRD-A49358627
fursultiamine,BRD-A71157293
lufenuron,BRD-A71774530
metolazone,BRD-A61793559
dienestrol,BRD-K95309561
pinacidil,BRD-A58207013
fipronil,BRD-A50675702
CA-074-Me,BRD-A56020723
letrozole,BRD-K88789588
3-beta-acetoxydeoxyangolensic acid methyl ester,BRD-A86629089
ATPA,BRD-A65145453
maackiain,BRD-A95445494
calyculin A,BRD-A47513740
piretanide,BRD-K87990216
nefopam,BRD-A78877355
convallatoxin,BRD-A80968824
SDZ-201106,BRD-A64553394
tetrabenazine,BRD-K95739795
Cdk1 inhibitor,BRD-K81836716
picrotoxinin,BRD-K95554982
obliquin,BRD-K88954184
PSB 069,BRD-K79366068
coumarinic-acid,BRD-K96271548
"1,7-dideacetoxy-1,7-dioxokhivorin",BRD-A59009217
GBR 12783,BRD-K92015269
nortriptyline,BRD-K91263825
miconazole,BRD-A82396632
austricine,BRD-K78838262
loratadine,BRD-K82795137
(S)-(+)-Dimethindene maleate,BRD-K83192048
boldine,BRD-A44966919
NSC23766,BRD-A80213327
SKF-83566,BRD-A52588987
ungerine,BRD-A96820077
fenbufen,BRD-K12513978
homatropine hydrobromide,BRD-A74975734
ramipril,BRD-A65739223
alochlor,BRD-K02548315
IRL-2500,BRD-A54029483
strophanthidin,BRD-K84595254
Trequinsin,BRD-K84663978
vulpinic acid,BRD-A89237309
DMP 543,BRD-K89274813
herniarin,BRD-K81209159
AF-DX 384,BRD-A93436351
tetrahydrotrimethylhispidin,BRD-A86977540
pheneticillin,BRD-A66025870
estrone benzoate,BRD-A90969585
cimaterol,BRD-A65440446
CDC,BRD-K10870738
1-(3-trifluoromethylphenyl)piperazine,BRD-K94887716
11alpha-acetoxyprogesterone,BRD-A56884981
dipivefrine,BRD-A47494775
candesartan cilextil,BRD-A65671304
mammea A/BA,BRD-K92138166
ecopipam,BRD-K94270326
U-74389F,BRD-A96897502
MY-5445,BRD-K90524085
2-methoxyestradiol,BRD-A79248021
chloroquine,BRD-A91699651
LY-255283,BRD-K92492521
fenamic acid,BRD-K80863915
gallopamil,BRD-A52922642
nitrarine,BRD-A60583491
nemonapride,BRD-A66927094
omeprazole,BRD-A55962179
resmethrin,BRD-A83431637
indapamide,BRD-A95869247
N-formylmethionylalanine,BRD-A61470182
bromperidol,BRD-K78643075
meloxicam,BRD-A84174393
pargyline,BRD-K83597974
Chromanol 293B,BRD-A83695761
roscovitine,BRD-K07691486
aloisine A,BRD-K93658967
GR 135531,BRD-K83023055
"1,5-isoquinolinediol",BRD-K90230846
MAZ51,BRD-K95655893
venlafaxine,BRD-A51714012
acetyltryptophanamide,BRD-K10171338
pridinol,BRD-K17565903
chloroxylenol,BRD-K17223896
tyrphostin AG 538,BRD-K07888196
bemesetron,BRD-A85587465
resveratrol,BRD-K80738081
GR 89696,BRD-A93659613
